Date,Open,High,Low,Close,Volume,Adjusted Close
1997-08-22,460.21,463.68,452.12,463.68,25960000.0,463.68
1997-08-21,466.28,466.4,458.74,460.21,27540000.0,460.21
1997-08-20,458.65,466.48,457.47,466.28,28540000.0,466.28
1997-08-19,451.52,458.65,451.26,458.65,21770000.0,458.65
1997-08-18,442.85,451.6,442.33,451.52,20180000.0,451.52
1997-08-15,455.42,455.42,442.85,442.85,21220000.0,442.85
1997-08-14,458.83,460.91,451.95,455.42,22290000.0,455.42
1997-08-13,466.54,467.09,458.02,458.83,24900000.0,458.83
1997-08-12,468.33,471.19,466.17,466.54,25320000.0,466.54
1997-08-11,459.81,470.07,459.81,468.33,23470000.0,468.33
1997-08-08,469.06,469.06,458.02,459.81,27540000.0,459.81
1997-08-07,472.12,473.68,468.57,469.06,25160000.0,469.06
1997-08-06,465.56,473.45,464.98,472.12,24110000.0,472.12
1997-08-05,462.67,466.17,461.6,465.56,24030000.0,465.56
1997-08-04,459.29,463.83,457.93,462.67,21290000.0,462.67
1997-08-01,463.8,463.8,454.17,459.29,27960000.0,459.29
1997-07-31,462.55,466.46,460.71,463.8,26770000.0,463.8
1997-07-30,458.6,463.54,458.6,462.55,29300000.0,462.55
1997-07-29,453.48,458.65,452.01,458.6,30180000.0,458.6
1997-07-28,452.12,456.75,451.83,453.48,27220000.0,453.48
1997-07-25,450.04,453.37,449.38,452.12,26080000.0,452.12
1997-07-24,449.67,451.14,446.49,450.04,25500000.0,450.04
1997-07-23,453.02,456.49,449.67,449.67,26570000.0,449.67
1997-07-22,442.18,453.94,442.18,453.02,27580000.0,453.02
1997-07-21,442.59,444.06,440.68,442.18,24500000.0,442.18
1997-07-18,449.9,450.1,441.52,442.59,25720000.0,442.59
1997-07-17,444.96,451.26,443.71,449.9,26860000.0,449.9
1997-07-16,441.72,445.65,441.58,444.96,27880000.0,444.96
1997-07-15,439.26,441.75,437.1,441.72,25110000.0,441.72
1997-07-14,441.95,442.9,436.78,439.26,23220000.0,439.26
1997-07-11,439.61,443.11,438.86,441.95,23480000.0,441.95
